;VPNID;X.x;Sco1R_Nb_mots;Sco1R_titre;Sco1R_Signature;Sco1R_GP;Sco1R_Fid;Sco1R_unitThem;Sco1R_unitThemNbre;Sco1R_Destinataire;Sco1R_AncrTemp_Echelle;Sco1R_AncrTemp_occurences;Sco1R_ProgrChrono_Occ;Sco1R_ProgrChrono;Sco1R_AncrSpat;Sco1R_RéfSpat;Sco1R_Textual;Sco1R_Coh_verb;Sco1R_Description;Sco1R_Ponct;Sco1R_Maj;Sco1R_Synt;Sco1R_Genre;Sco1R_Nombre;Sco1R_Cas;Sco1R_Verbal;Sco1R_Dialekt;Sco1R_remarques;P1R_Nb_mots;P1R_titre;P1R_Signature;P1R_GP;P1R_Fid;P1R_unitThem;P1R_unitThemNbre;P1R_Destinataire;P1R_AncrTemp_Echelle;P1R_AncrTemp_occurences;P1R_ProgrChrono_Occ;P1R_ProgrChrono;P1R_AncrSpat;P1R_RéfSpat;P1R_Textual;P1R_Coh_verb;P1R_Description;P1R_Ponct;P1R_Maj;P1R_Synt;P1R_Genre;P1R_Nombre;P1R_Verbal;P1R_remarques;Sco2R_Nb_mots;Sco2R_titre;Sco2R_Signature;Sco2R_GP;Sco2R_Fid;Sco2R_unitThem;Sco2R_unitThemNbre;Sco2R_Destinataire;Sco2R_AncrTemp_Echelle;Sco2R_AncrTemp_occurences;Sco2R_ProgrChrono_Occ;Sco2R_ProgrChrono;Sco2R_AncrSpat;Sco2R_RéfSpat;Sco2R_Textual;Sco2R_Coh_verb;Sco2R_Description;Sco2R_Ponct;Sco2R_Maj;Sco2R_Synt;Sco2R_Genre;Sco2R_Nombre;Sco2R_Cas;Sco2R_Verbal;Sco2R_Dialekt;Sco2R_remarques;P2R_Nb_mots;P2R_titre;P2R_Signature;P2R_GP;P2R_Fid;P2R_unitThem;P2R_unitThemNbre;P2R_Destinataire;P2R_AncrTemp_Echelle;P2R_AncrTemp_occurences;P2R_ProgrChrono_Occ;P2R_ProgrChrono;P2R_AncrSpat;P2R_RéfSpat;P2R_Textual;P2R_Coh_verb;P2R_Description;P2R_Ponct;P2R_Maj;P2R_Synt;P2R_Genre;P2R_Nombre;P2R_Verbal;P2R_remarques;Sco3R_Nb_mots;Sco3R_titre;Sco3R_Signature;Sco3R_GP;Sco3R_Fid;Sco3R_unitThem;Sco3R_unitThemNbre;Sco3R_Destinataire;Sco3R_AncrTemp_Echelle;Sco3R_AncrTemp_occurences;Sco3R_ProgrChrono_Occ;Sco3R_ProgrChrono;Sco3R_AncrSpat;Sco3R_RéfSpat;Sco3R_Textual;Sco3R_Coh_verb;Sco3R_Description;Sco3R_Ponct;Sco3R_Maj;Sco3R_Synt;Sco3R_Genre;Sco3R_Nombre;Sco3R_Cas;Sco3R_Verbal;Sco3R_Dialekt;Sco3R_remarques;P3R_Nb_mots;P3R_titre;P3R_Signature;P3R_GP;P3R_Fid;P3R_unitThem;P3R_unitThemNbre;P3R_Destinataire;P3R_AncrTemp_Echelle;P3R_AncrTemp_occurences;P3R_ProgrChrono_Occ;P3R_ProgrChrono;P3R_AncrSpat;P3R_RéfSpat;P3R_Textual;P3R_Coh_verb;P3R_Description;P3R_Ponct;P3R_Maj;P3R_Synt;P3R_Genre;P3R_Nombre;P3R_Verbal;P3R_remarques;hkngroup;Schulsprache;zweiSprachig;Group;PartDef;X.y;Sco1A_Nb_mots;Sco1A_Lieu;Sco1A_Date;Sco1A_Appel;Sco1A_Salutation;Sco1A_Signature;Sco1A_GP;Sco1A_Objet;Sco1A_Raisons;Sco1A_TC;Sco1A_Articulation;Sco1A_Destinataire;Sco1A_Organisateurs;Sco1A_Coh_verb;Sco1A_Ponct;Sco1A_Maj;Sco1A_Synt;Sco1A_Genre;Sco1A_Nombre;Sco1A_Cas;Sco1A_Verbal;Sco1A_Dialekt;P1A_Nb_mots;P1A_Lieu;P1A_Date;P1A_Appel;P1A_salutation;P1A_Signature;P1A_GP;P1A_Objet;P1A_Raisons;P1A_TC;P1A_Articulation;P1A_Destinataire;P1A_Organisateurs;P1A_Coh_verb;P1A_Ponct;P1A_Maj;P1A_Synt;P1A_Genre;P1A_Nombre;P1A_Cas;P1A_Verbal;Sco2A_Nb_mots;Sco2A_Lieu;Sco2A_Date;Sco2A_Appel;Sco2A_Salutation;Sco2A_Signature;Sco2A_GP;Sco2A_Objet;Sco2A_Raisons;Sco2A_TC;Sco2A_Articulation;Sco2A_Destinataire;Sco2A_Organisateurs;Sco2A_Coh_verb;Sco2A_Ponct;Sco2A_Maj;Sco2A_Synt;Sco2A_Genre;Sco2A_Nombre;Sco2A_Cas;Sco2A_Verbal;Sco2A_Dialekt;P2A_Nb_mots;P2A_Lieu;P2A_Date;P2A_Appel;P2A_Psalutation;P2A_Signature;P2A_GP;P2A_Objet;P2A_Raisons;P2A_TC;P2A_Articulation;P2A_Destinataire;P2A_Organisateurs;P2A_Coh_verb;P2A_Ponct;P2A_Maj;P2A_Synt;P2A_Genre;P2A_Nombre;P2A_Cas;P2A_Verbal;Sco3A_Nb_mots;Sco3A_Lieu;Sco3A_Date;Sco3A_Appel;Sco3A_Salutation;Sco3A_Signature;Sco3A_GP;Sco3A_Objet;Sco3A_Raisons;Sco3A_TC;Sco3A_Articulation;Sco3A_Destinataire;Sco3A_Organisateurs;Sco3A_Coh_verb;Sco3A_Ponct;Sco3A_Maj;Sco3A_Synt;Sco3A_Genre;Sco3A_Nombre;Sco3A_Cas;Sco3A_Verbal;Sco3A_Dialekt;P3A_Nb_mots;P3A_Lieu;P3A_Date;P3A_Appel;P3A_salutation;P3A_Signature;P3A_GP;P3A_Objet;P3A_Raisons;P3A_TC;P3A_Articulation;P3A_Destinataire;P3A_Organisateurs;P3A_Coh_verb;P3A_Ponct;P3A_Maj;P3A_Synt;P3A_Genre;P3A_Nombre;P3A_Cas;P3A_Verbal
224;L_PLD_19;259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;0;0;0;1;"""Schulreise, Zoo, Mc Donalds, am Morgen, parat, am Abend, Bratwurst, Bett""";8;0;2;"""am Morgen, am Abend""";"""und(2), und nachher(2)""";2;1;0;3;1;1;1;1;1;0;0;0;2;nein;NA;26;0;0;0;1;paris, amigas, ir, crepe, bom;5;0;0;NA;depois;1;1;2;3;3;3;1;2;3;0;0;1;problème avec le présent;PLD;d;1;d1;1;260;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;43;0;0;0;0;0;0;1;1;2;1;0;3;1;0;0;2;0;0;0;0;ja;30;0;0;0;0;0;0;1;3;4;1;0;2;2;1;1;4;0;0;NA;0
225;L_PLD_2;260;13;0;0;0;1;"""Schiefbau, andere Klasse, schön""";3;0;0;NA;NA;0;1;2;3;1;3;0;0;0;0;0;0;1;ja;1 mot incompréhensible;8;0;0;0;1;Portugal, X;2;0;0;NA;NA;0;1;0;1;1;1;0;1;0;0;0;1;NA;68;0;0;0;1;"""Patrick, Fussball, Rodrigo, mitspielen, ja, nein, Ball, auswählen, Rodrigo darf, Rodrigo sagt, keine Ahnung""";11;0;0;NA;"""dann(5)""";1;0;0;0;2;2;1;0;0;0;0;2;1;ja;NA;12;0;0;0;NA;Portugal, férias, mar, nadar;4;0;0;NA;0;0;1;0;1;1;2;0;1;1;0;0;0;à écrit au present (avec valeur de futur);42;0;0;0;1;"""Portugal, Stadion, Ponpons, cool, ich und Patrick, Fotos2";6;0;0;NA;"""und(1)""";1;1;0;1;1;3;0;1;0;0;1;0;2;nein;NA;51;0;1;1;1;Portugal, casa, bicicleta, brincar, adorar, x, bola;7;0;0;NA;0;0;1;0;1;1;3;0;2;2;1;0;1;Difficile à comprendre;PLD;d;1;d1;1;261;16;0;0;1;0;1;2;1;0;1;2;1;2;1;0;0;0;0;0;2;0;nein;20;0;0;0;0;0;0;1;1;2;0;1;0;1;0;1;2;0;0;NA;4;52;0;0;1;0;0;1;1;1;2;2;1;2;2;0;1;2;0;0;2;0;ja;25;0;0;1;1;1;3;1;1;2;0;1;1;1;1;1;1;0;2;NA;0;16;0;0;1;0;1;2;1;0;1;1;1;0;1;0;1;0;0;0;1;0;nein;29;0;0;1;1;0;2;1;3;4;0;1;1;1;1;1;2;0;0;NA;0
226;L_PLD_3;261;43;0;0;0;1;"""Wald, 1 Stunde laufen, Zvieri, laufen, ankommen, Zmittag, bräteln, Nudel, spielen""";9;0;1;"""1 Stunde""";"""und dann(2)""";1;1;0;2;2;2;0;0;0;0;0;0;2;ja;NA;15;0;0;0;1;Portugal, Praia, Primo;3;0;0;NA;NA;0;1;0;1;1;2;1;2;1;1;0;3;NA;62;0;0;0;1;"""Schule, Wald, 1 Stunde laufen, ankommen, spielen, Spass, essen, Fangis, Spass, nach Hause, Bus""";12;0;1;"""1 Stunde""";"""und dann(2)""";1;1;2;4;2;3;1;0;1;0;0;0;1;ja;NA;43;0;0;0;1;Portugal, praia, agua, peixes, gelados, pai mãe, areia, prima, primo, sandes;11;0;0;NA;0;0;1;0;1;3;2;0;2;2;1;0;1;NA;101;0;0;0;1;"""Klasse, Schulreise, Wald, 30 Kinder, Mittagessen, 4 Uhr, bleiben, Würste, 4 Uhr, nach Hause, verirren, 10 Uhr abends, Wald, jemanden anrufen, kommen, Weg zeigen, endlich, zu Hause""";18;0;2;"""4 Uhr Nachmittag(2), jetzt(1), 10 Uhr abends(1)""";"""es war einmal(1), dann(1), endlich(1), und(3)""";4;1;2;5;2;2;0;0;2;0;0;0;3;nein;écrit dans 3ème personne pluriel;73;0;0;0;1;ferias, Portugal, primo, jogar, mãe, tia, primo, autocarro, avião, cão, gatos, anos;12;0;0;NA;0;0;1;0;1;3;3;2;1;4;0;0;2;NA;PLD;d;1;d1;1;28;29;0;0;0;0;0;0;1;3;4;1;0;2;2;0;0;2;0;0;2;1;ja;13;0;0;0;0;0;0;1;2;3;0;0;0;1;1;2;1;0;0;NA;0;47;0;0;0;1;1;2;1;1;2;2;1;2;1;0;0;1;0;0;3;0;nein;25;0;0;1;0;0;1;1;0;1;0;1;1;3;1;2;1;0;0;NA;2;31;0;0;0;0;0;0;1;3;4;1;0;1;1;0;0;2;0;0;0;0;nein;39;0;0;1;0;0;1;1;3;4;2;1;2;1;1;2;4;NA;0;NA;1
227;L_PLD_4;262;13;0;0;0;1;"""Wald, schlafen""";2;0;0;NA;"""und(1)""";1;1;0;1;2;2;0;0;0;0;0;1;0;nein;1 mot incompréhensible;8;0;0;0;1;Feria, Portugal;2;0;NA;NA;NA;0;1;0;NA;1;1;0;1;1;0;0;0;NA;19;0;0;0;0;"""Portugal, Sachen, Häuser, Sachen""";4;0;0;NA;NA;0;1;2;3;0;2;0;0;0;0;0;0;2;nein;NA;21;0;0;0;NA;férias, Portugal, coisas, casa, morar;5;0;0;NA;0;0;1;2;3;1;2;0;1;2;0;0;2;NA;40;0;0;0;1;"""Schulreise, Bauernhof, Tiere, Kühe etc., Tiere sehen, Nachmittag, spazieren, Abend, zurück""";9;0;2;"""am Nachmittag, am Abend""";NA;0;1;2;5;2;2;1;1;1;0;0;4;2;ja;NA;44;0;0;0;1;ferias, piscina, nadar, compras, piscina, avó e avô, restaurante, casa, adormecer;9;0;0;NA;primeiro, a tarde, a noite, depois, e;5;1;0;1;1;2;0;1;2;0;0;6;NA;PLD;d;1;d1;1;263;6;0;0;0;0;0;0;1;0;1;1;0;0;1;1;2;1;0;0;0;0;nein;7;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;NA;0;27;0;0;0;0;0;0;1;1;2;1;0;1;2;0;0;2;1;0;0;1;nein;32;0;0;0;0;0;0;1;2;3;0;0;1;1;1;1;3;0;0;NA;0;53;0;0;0;0;0;0;1;3;4;1;0;2;1;0;0;2;0;0;0;0;nein;31;0;0;0;0;0;0;1;3;4;1;0;2;1;1;1;1;0;0;NA;2
228;L_PLD_5;263;16;0;0;0;1;"""Schiffbau, Pünktchen und Anton, Klasse""";3;0;0;NA;NA;0;1;0;1;1;2;0;1;0;0;0;2;0;nein;NA;12;0;0;0;1;x, teatro, gostar;3;0;0;NA;NA;0;1;0;1;1;3;0;1;3;0;0;1;NA;59;0;0;0;1;"""Zoo, Klasse, Tiger, Rappen, gegessen, toter Mensch, lustig, Hefte, Schule, Hort, gegessen, nach Hause""";12;0;0;NA;"""und(2), und dann(1), und nachher""";3;1;0;1;2;3;1;0;1;0;0;4;0;ja;NA;22;0;0;0;1;Algarve, piscina, dormir, hotel, albufeira;6;0;0;NA;0;0;1;0;1;3;2;0;1;2;0;0;0;NA;59;0;0;0;1;"""Schulausflug, Portugal, Stadion, trainieren, Spieler, Fotos, T-Shirt, Goalie, cool""";9;0;0;NA;"""dann(2), und(3)""";2;1;0;1;2;3;0;0;2;0;0;1;0;nein;NA;69;0;0;0;1;ferias, anos, comer, prenda, casa, brincar, ganhar, dormir, acordar, jogar, chamar, futebol;12;0;0;NA;e depois(4), a noite, de manhã, e;4;1;0;1;1;2;0;2;2;0;1;1;NA;PLD;d;1;d1;1;264;23;0;0;0;0;0;0;1;1;2;1;0;0;1;1;1;0;0;0;1;0;nein;12;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;NA;1;32;0;0;1;0;0;1;1;3;4;1;1;1;1;1;1;1;0;0;0;0;nein;23;0;0;1;0;0;1;1;2;3;0;1;1;1;1;2;2;0;0;NA;0;44;0;0;1;0;0;1;1;3;4;1;1;2;2;1;1;2;1;0;1;0;nein;35;0;0;1;1;0;2;1;3;4;2;1;2;1;0;1;2;1;0;NA;3
229;L_PLD_6;264;29;0;0;0;1;"""Berge, 1 Woche, übernachten, Pingpongschläger, spielen""";5;0;1;"""1 Woche""";NA;0;1;1;3;2;2;0;0;0;0;0;0;0;nein;1 mot incompréhensible;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;présent, mais rien écrit;67;0;0;0;1;"""Wald, Feuerplatz, Freunde, Haus, Drogen und Kondom, raus, spielen, essen, Freunde, Fussball, Tor, Tunnel, stehen""";13;0;0;NA;"""und dann(1), zuerst(1)""";2;1;1;2;2;2;1;0;1;0;0;1;0;nein;2 mots incompréhensible;9;0;0;0;1;italia, pizza;2;0;0;NA;0;0;1;0;1;1;2;1;1;3;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69;0;0;0;1;Portugal, avós, pais, mar, x, pagar, piscina, funda, grande, frente, mãe, irmão, pedras;13;0;0;NA;depois;1;1;0;1;3;2;0;1;2;0;0;1;ecriture difficile à comprendre;PLD;d;1;d1;1;265;28;0;0;0;0;0;0;1;2;3;1;0;2;1;0;0;0;0;0;2;0;nein;29;0;0;0;0;0;0;1;3;4;0;0;1;1;1;2;3;0;0;NA;2;27;0;0;0;0;0;0;1;2;3;1;0;1;1;0;0;2;0;0;0;0;nein;23;0;0;0;0;0;0;1;1;2;0;0;1;1;1;2;1;0;0;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37;0;0;1;0;0;1;1;3;4;2;1;2;2;1;2;4;0;0;NA;0
230;L_PLD_7;265;17;1;0;1;1;"""Sternenwanderung, lustig, anstrengend, 3 Wälder""";4;0;0;NA;NA;0;1;0;1;1;3;0;0;2;0;1;0;1;nein;NA;7;0;0;0;1;nadar;1;0;0;NA;NA;0;0;0;0;1;1;0;2;2;0;0;2;NA;33;1;0;1;1;"""Schulreise, lustig, am Morgen, wandern, Flaschendrehen, Küssen, am Abend, spielen""";8;0;2;"""am Morgen, am Abend, 10 Sekunden""";"""und(1), und dann(1)""";2;0;0;2;2;3;0;0;0;0;0;0;0;ja;NA;39;1;0;1;1;férias, Portugal, frio, praia, brincar, dezembro, cãos, madrinha, semanas;9;0;0;NA;0;0;1;0;1;3;3;1;1;3;0;0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PLD;d;1;d1;1;29;9;0;0;1;0;0;1;1;0;1;1;1;0;1;1;2;1;0;0;1;0;nein;8;0;0;1;0;0;1;1;0;1;0;1;0;1;1;1;1;0;0;NA;1;22;0;0;1;0;0;1;1;2;3;1;1;2;1;0;1;2;0;0;0;0;nein;13;0;0;1;0;0;1;1;2;3;0;1;1;1;1;1;1;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
231;L_PLD_8;266;20;0;0;0;1;"""Berg, Restaurant, Schlitten, Spass""";4;0;0;NA;NA;0;1;0;1;1;3;0;0;0;0;0;0;0;ja;NA;15;0;0;0;1;Praia, X, nadar, agua, fria;4;0;0;NA;NA;0;1;0;1;3;1;0;1;1;0;0;0;NA;66;0;0;0;1;"""Schulreise, Europapark, Gruppe, Lehrerin, andere Lehrerin, Liste, gefahren, 7:00, 8:00""";10;0;2;"""7:00 morgens, 8:00 nachts""";"""und dann(1)""";1;1;0;3;2;2;0;0;2;0;0;2;0;ja;NA;24;0;0;0;1;férias Portugal, avõ, doença, x, familia;6;0;1;últimas férias;0;0;1;0;2;1;2;1;2;2;0;0;2;NA;53;0;0;0;1;"""Klasse, Klassenlager, Spass, Esswaren, 1 Woche, Kolleginnen, Sachen verstecken, selber verstecken""";8;0;1;"""1 Woche""";"""und(3)""";1;0;0;1;2;3;1;0;2;0;0;0;1;nein;NA;37;0;0;0;1;ferias, Portugal, alemanha, primos, brincar, compras, europapark, semana;8;0;0;NA;0;0;1;0;1;1;2;1;1;3;0;0;0;NA;PLD;d;1;d1;1;30;19;0;0;0;0;0;0;1;2;3;1;NA;2;1;0;0;3;0;0;0;0;nein;8;0;0;0;0;0;0;1;0;1;0;1;0;1;1;2;1;0;0;NA;0;23;0;0;0;0;0;0;1;3;4;1;NA;1;1;0;2;2;0;0;0;0;ja;32;0;0;1;0;0;1;1;3;4;1;1;1;3;1;1;4;0;0;NA;0;26;0;0;1;0;0;1;1;3;4;2;1;2;1;1;1;2;0;0;0;0;nein;27;0;0;1;0;0;1;1;3;4;2;1;1;1;1;2;4;0;0;NA;0
232;L_PLD_9;267;7;0;0;0;1;"""Sternwanderung, Bräteln""";2;0;0;NA;NA;0;0;0;0;1;1;1;1;0;0;0;0;1;nein;NA;12;0;0;0;1;casa do ruben, jogar, empatar;3;0;0;NA;NA;0;1;0;1;1;2;0;1;2;0;0;1;NA;31;0;0;0;1;"""Zoo, Tiere, Vögel, 50 Vögel, Elefant, gestorben, 6 Elefanten""";6;0;0;NA;NA;0;1;0;1;2;2;1;1;1;0;1;0;0;nein;NA;24;0;0;0;1;primos, suiça, jogar, x. casa, calças;6;0;0;NA;depois;1;1;2;3;1;2;1;1;1;0;0;2;un mot incomprehensible;36;0;0;0;1;"""Ausflug, Braunwald, Schlittenfahren, Schneeballschlacht, Zug, essen, Pommes&Nuggets""";7;0;0;NA;"""und(1)""";1;1;0;1;1;2;1;1;1;0;0;0;1;nein;NA;37;0;0;0;1;ferias, casa, Portugal, comer, bicicleta, chover, montanha, casa;8;0;0;NA;depois;1;1;0;1;3;3;1;1;4;0;0;0;NA;PLD;d;1;d1;1;31;13;0;0;0;0;0;0;0;0;0;1;NA;2;1;0;0;1;0;0;2;0;nein;20;0;0;0;0;0;0;1;0;1;0;1;2;1;1;0;1;0;0;NA;11;33;0;0;0;0;0;0;1;3;4;1;NA;2;1;1;0;1;0;0;3;0;nein;15;0;0;1;0;0;1;1;0;1;0;1;0;3;1;2;1;0;0;NA;2;26;0;0;1;0;0;1;1;3;4;1;1;1;1;0;1;2;0;0;1;3;nein;31;0;0;1;0;0;1;1;3;4;2;1;1;1;1;2;1;0;0;NA;2
233;M_PLD_1;268;40;0;0;0;1;"""Sternwanderung, Bahnhof, Postauto, laufen, Pause, laufen, nach Hause, streng""";8;0;0;NA;"""dann(5), und dann(1)""";2;1;0;1;1;3;1;1;1;0;0;2;1;ja;NA;17;1;0;1;1;Ferias, Lisboa, Quente, Mar, Algas;5;0;0;NA;NA;0;1;2;3;3;2;1;2;1;0;1;0;NA;14;0;0;0;1;"""Klasse, braten, Indianer""";3;0;0;NA;"""und(1)""";1;0;0;0;1;2;0;0;0;0;1;2;0;nein;NA;18;0;0;0;1;Portugal, irmã, irmõ, brincar, nada;5;0;1;no ano passado;0;0;1;0;2;1;2;2;1;1;0;0;1;NA;35;0;0;0;1;"""lustig, gegangen, wissen, schön, Klasse, langweilig, wissen""";7;0;0;NA;NA;0;0;0;0;2;3;0;1;1;0;0;0;0;nein;NA;31;0;0;0;1;Portugal, pais, irmão, mal, fantástico, anos, saber;7;0;0;NA;0;0;1;0;1;3;3;2;2;4;0;0;0;NA;PLD;d;1;d1;1;269;40;0;0;1;1;1;3;1;0;1;3;1;1;1;1;0;1;0;0;2;1;nein;23;0;0;1;0;1;2;1;3;4;3;1;1;1;1;1;1;0;1;NA;1;58;0;0;1;1;1;3;1;1;2;3;1;2;1;2;0;2;0;0;0;0;nein;42;0;0;1;0;1;2;1;3;4;3;1;1;1;2;2;3;0;0;NA;5;38;0;0;1;0;0;1;1;3;4;3;1;2;1;1;1;2;0;1;1;0;nein;48;0;0;1;0;1;2;1;3;4;3;1;1;2;2;2;4;0;0;NA;2
234;M_PLD_10;269;15;0;0;0;1;"""Schloss, spielen, besuchen""";3;0;0;NA;"""und(1)""";1;1;0;1;1;2;0;0;0;0;0;1;0;nein;NA;10;0;0;0;1;Portugal, alente, praia;3;0;0;NA;NA;0;1;2;3;1;3;0;1;3;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;0;0;0;1;"""Hallo, Schulreise, dumm, laufen, Schanenberg""";5;1;0;NA;NA;0;1;0;1;1;3;0;0;1;0;0;0;0;nein;NA;17;0;0;0;1;férias, pais, Portugal, polília;4;0;0;NA;0;0;0;0;0;1;1;0;0;2;0;0;2;NA;PLD;d;1;d1;1;32;28;0;0;0;0;0;0;1;1;2;0;0;1;1;0;1;0;0;0;0;0;ja;17;0;0;0;0;0;0;1;3;4;0;0;1;1;1;1;2;0;0;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28;0;0;1;0;0;1;1;3;4;1;1;2;1;1;1;2;0;0;0;1;nein;57;0;0;1;0;0;1;1;3;4;1;1;2;2;2;1;3;0;0;NA;6
235;M_PLD_11;270;35;0;0;0;1;"""Dinosauriermuseum, Spiel, Sand, Dinozähne, Haizähne, zu Hause, Dinozähne""";7;0;0;NA;"""und(3)""";1;1;0;1;1;2;0;0;1;0;0;0;1;nein;NA;18;0;0;0;1;Mar, Casa, Brincar, Irmáo;4;0;0;NA;e depois, o dia todo;2;1;0;1;1;2;1;2;3;0;0;1;NA;35;0;0;0;1;"""Schulreise, Frauenfeld, Paketzentrum, lustig, Päckchen, essen und trinken""";6;0;0;NA;"""und(2)""";1;1;2;3;2;3;1;0;1;0;0;1;0;nein;NA;28;0;0;0;1;férias, Portugal, mar, avó, casa;5;0;1;últimas férias;0;0;1;0;2;1;2;1;2;1;0;0;0;NA;32;0;0;0;1;"""Kläranlage, Matzingen, lustig, Video, Wasser, cool""";6;0;0;NA;"""am Anfang(1), dann(1)""";2;1;1;2;2;3;1;1;1;0;0;0;0;nein;NA;55;0;0;0;1;Portugal, avós, tios, férias, mar, praia, comer, gostar, brincar, prima, ir;11;0;0;NA;0;0;1;0;1;1;3;1;2;4;0;1;2;NA;PLD;d;1;d1;1;271;22;0;0;0;1;1;2;1;2;3;2;0;0;1;0;1;1;0;0;0;0;nein;23;0;0;0;0;1;1;1;2;3;1;1;1;1;1;2;1;0;1;NA;3;29;0;0;1;1;1;3;1;3;4;3;1;1;1;1;2;2;0;0;0;0;nein;29;0;0;1;0;1;2;1;3;4;2;1;2;1;1;1;1;0;0;NA;3;40;0;0;1;1;1;3;1;3;4;3;1;2;1;1;2;3;0;0;0;0;nein;35;0;0;1;0;1;2;1;2;3;3;1;1;2;1;2;1;0;0;NA;2
236;M_PLD_12;271;35;0;0;0;1;"""Hüttwilersee, Klasse, Mittagessen""";3;0;0;NA;"""und(2), am Schluss""";2;1;2;3;2;2;0;0;0;0;0;2;1;nein;NA;25;0;0;0;1;Praia, primos, castelo, mar;4;0;0;NA;e depois, depois;2;1;0;1;1;2;0;0;2;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67;0;0;0;1;dia de férias, piscina, pai, mãe, irmão, dizer, ir, ir embora, querer;9;0;0;NA;depois, e depois, quando;3;1;0;1;3;2;1;2;3;0;0;0;NA;33;0;0;0;1;"""Schule, Schulreise, Feuerplatz, besetzt, weiter, nächste, grillieren""";7;0;0;NA;"""und(1)""";1;1;2;3;1;2;1;0;2;0;0;2;1;nein;NA;44;0;0;0;1;primos, hotel, piscina, praia, nadar, tomar banho, adorar, férias;8;0;0;NA;depois, quando;2;1;0;1;3;3;0;2;3;0;0;0;NA;PLD;d;1;d1;1;33;26;0;0;1;0;1;2;1;2;3;3;1;1;1;1;1;2;0;0;0;0;nein;28;0;0;1;0;1;2;1;3;4;3;1;1;3;1;3;3;0;0;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;0;0;1;0;1;2;1;3;4;0;1;2;3;0;1;2;0;0;NA;0;51;0;0;1;1;1;3;1;3;4;3;1;3;1;0;1;2;0;0;0;0;nein;58;0;0;1;1;1;3;1;3;4;3;1;2;1;2;2;4;0;0;NA;0
