rt,trial_type,trial_index,time_elapsed,SubjectID,stimulus,button_pressed,PartExperiment
1214,button-response,65,219619,0hbyub76ak392shr1pn47v7yn50866sc,ne knie,1,DutchArticlesUsual
2447,button-response,66,222121,0hbyub76ak392shr1pn47v7yn50866sc,het fiets,2,DutchArticlesUsual
1592,button-response,67,223769,0hbyub76ak392shr1pn47v7yn50866sc,nen bijl,1,DutchArticlesUsual
1711,button-response,68,225536,0hbyub76ak392shr1pn47v7yn50866sc,de speld,0,DutchArticlesUsual
4147,button-response,69,229738,0hbyub76ak392shr1pn47v7yn50866sc,het stoel,2,DutchArticlesUsual
1577,button-response,70,231370,0hbyub76ak392shr1pn47v7yn50866sc,ne mand,1,DutchArticlesUsual
1124,button-response,71,232550,0hbyub76ak392shr1pn47v7yn50866sc,ne vrucht,1,DutchArticlesUsual
2731,button-response,72,235337,0hbyub76ak392shr1pn47v7yn50866sc,de trein,0,DutchArticlesUsual
2655,button-response,73,238047,0hbyub76ak392shr1pn47v7yn50866sc,het veld,0,DutchArticlesUsual
2832,button-response,74,240934,0hbyub76ak392shr1pn47v7yn50866sc,de beeld,2,DutchArticlesUsual
1331,button-response,75,242322,0hbyub76ak392shr1pn47v7yn50866sc,ne geur,1,DutchArticlesUsual
1842,button-response,76,244219,0hbyub76ak392shr1pn47v7yn50866sc,de vuur,2,DutchArticlesUsual
1327,button-response,77,245602,0hbyub76ak392shr1pn47v7yn50866sc,ne gloed,1,DutchArticlesUsual
2400,button-response,78,248057,0hbyub76ak392shr1pn47v7yn50866sc,het film,2,DutchArticlesUsual
4495,button-response,79,252607,0hbyub76ak392shr1pn47v7yn50866sc,het rol,2,DutchArticlesUsual
1292,button-response,80,253954,0hbyub76ak392shr1pn47v7yn50866sc,ne kin,1,DutchArticlesUsual
1505,button-response,82,261334,0hbyub76ak392shr1pn47v7yn50866sc,ne vrucht,1,DutchArticlesOwnUse
1049,button-response,83,262437,0hbyub76ak392shr1pn47v7yn50866sc,ne stap,1,DutchArticlesOwnUse
976,button-response,84,263469,0hbyub76ak392shr1pn47v7yn50866sc,ne gloed,1,DutchArticlesOwnUse
961,button-response,85,264487,0hbyub76ak392shr1pn47v7yn50866sc,ne plicht,1,DutchArticlesOwnUse
937,button-response,86,265478,0hbyub76ak392shr1pn47v7yn50866sc,ne mand,1,DutchArticlesOwnUse
864,button-response,87,266399,0hbyub76ak392shr1pn47v7yn50866sc,nen bijl,1,DutchArticlesOwnUse
878,button-response,88,267332,0hbyub76ak392shr1pn47v7yn50866sc,ne zaak,1,DutchArticlesOwnUse
847,button-response,89,268235,0hbyub76ak392shr1pn47v7yn50866sc,ne poort,1,DutchArticlesOwnUse
828,button-response,90,269119,0hbyub76ak392shr1pn47v7yn50866sc,ne kant,1,DutchArticlesOwnUse
882,button-response,91,270056,0hbyub76ak392shr1pn47v7yn50866sc,ne zaal,1,DutchArticlesOwnUse
857,button-response,92,270968,0hbyub76ak392shr1pn47v7yn50866sc,ne stad,1,DutchArticlesOwnUse
833,button-response,93,271857,0hbyub76ak392shr1pn47v7yn50866sc,ne knie,1,DutchArticlesOwnUse
905,button-response,94,272816,0hbyub76ak392shr1pn47v7yn50866sc,ne kin,1,DutchArticlesOwnUse
913,button-response,95,273785,0hbyub76ak392shr1pn47v7yn50866sc,ne geur,1,DutchArticlesOwnUse
3180,button-response,2,10300,0oq70qgrdzv2e1fkonw5284hl652fsjx,Strand,2,GermanArticles
1680,button-response,3,12048,0oq70qgrdzv2e1fkonw5284hl652fsjx,Schiff,0,GermanArticles
3703,button-response,4,15817,0oq70qgrdzv2e1fkonw5284hl652fsjx,Quiz,2,GermanArticles
1468,button-response,5,17346,0oq70qgrdzv2e1fkonw5284hl652fsjx,Baum,0,GermanArticles
1960,button-response,6,19368,0oq70qgrdzv2e1fkonw5284hl652fsjx,Kunst,1,GermanArticles
1469,button-response,7,20894,0oq70qgrdzv2e1fkonw5284hl652fsjx,Boot,2,GermanArticles
1669,button-response,8,22622,0oq70qgrdzv2e1fkonw5284hl652fsjx,Park,0,GermanArticles
1690,button-response,9,24376,0oq70qgrdzv2e1fkonw5284hl652fsjx,Tür,1,GermanArticles
1581,button-response,10,26018,0oq70qgrdzv2e1fkonw5284hl652fsjx,Lohn,2,GermanArticles
2450,button-response,11,28530,0oq70qgrdzv2e1fkonw5284hl652fsjx,Steak,0,GermanArticles
8901,button-response,12,37495,0oq70qgrdzv2e1fkonw5284hl652fsjx,Schaum,2,GermanArticles
2105,button-response,13,39675,0oq70qgrdzv2e1fkonw5284hl652fsjx,Hemd,2,GermanArticles
2229,button-response,14,41967,0oq70qgrdzv2e1fkonw5284hl652fsjx,Uhr,2,GermanArticles
3315,button-response,15,45348,0oq70qgrdzv2e1fkonw5284hl652fsjx,Fleck,0,GermanArticles
